# From SANDIA H2 Engine - ECN
# CA h_in h_ex
0 0 0
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 0
12 0 0
13 0 0
14 0 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0
23 0 0
24 0 0
25 0 0
26 0 0
27 0 0
28 0 0
29 0 0
30 0 0
31 0 0
32 0 0
33 0 0
34 0 0
35 0 0
36 0 0
37 0 0
38 0 0
39 0 0
40 0 0
41 0 0
42 0 0
43 0 0
44 0 0
45 0 0
46 0 0
47 0 0
48 0 0
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0
56 0 0
57 0 0
58 0 0
59 0 0
60 0 0
61 0 0
62 0 0
63 0 0
64 0 0
65 0 0
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0
74 0 0
75 0 0
76 0 0
77 0 0
78 0 0
79 0 0
80 0 0
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0
90 0 0
91 0 0
92 0 0
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
101 0 0
102 0 0
103 0 0
104 0 0
105 0 0
106 0 0
107 0 0
108 0 0
109 0 0
110 0 0
111 0 0
112 0 0
113 0 0
114 0 0
115 0 0
116 0 0
117 0 0
118 0 0
119 0 0.005
120 0 0.01
121 0 0.01
122 0 0.01
123 0 0.02
124 0 0.03
125 0 0.035
126 0 0.04
127 0 0.05
128 0 0.06
129 0 0.075
130 0 0.09
131 0 0.115
132 0 0.14
133 0 0.165
134 0 0.19
135 0 0.23
136 0 0.27
137 0 0.32
138 0 0.37
139 0 0.435
140 0 0.5
141 0 0.58
142 0 0.66
143 0 0.75
144 0 0.84
145 0 0.94
146 0 1.04
147 0 1.15
148 0 1.26
149 0 1.38
150 0 1.5
151 0 1.625
152 0 1.75
153 0 1.88
154 0 2.01
155 0 2.14
156 0 2.27
157 0 2.4
158 0 2.53
159 0 2.66
160 0 2.79
161 0 2.92
162 0 3.05
163 0 3.18
164 0 3.31
165 0 3.44
166 0 3.57
167 0 3.695
168 0 3.82
169 0 3.945
170 0 4.07
171 0 4.195
172 0 4.32
173 0 4.44
174 0 4.56
175 0 4.68
176 0 4.8
177 0 4.915
178 0 5.03
179 0 5.145
180 0 5.26
181 0 5.375
182 0 5.49
183 0 5.595
184 0 5.7
185 0 5.805
186 0 5.91
187 0 6.015
188 0 6.12
189 0 6.22
190 0 6.32
191 0 6.415
192 0 6.51
193 0 6.605
194 0 6.7
195 0 6.795
196 0 6.89
197 0 6.975
198 0 7.06
199 0 7.145
200 0 7.23
201 0 7.31
202 0 7.39
203 0 7.47
204 0 7.55
205 0 7.625
206 0 7.7
207 0 7.77
208 0 7.84
209 0 7.91
210 0 7.98
211 0 8.045
212 0 8.11
213 0 8.17
214 0 8.23
215 0 8.29
216 0 8.35
217 0 8.405
218 0 8.46
219 0 8.51
220 0 8.56
221 0 8.605
222 0 8.65
223 0 8.695
224 0 8.74
225 0 8.78
226 0 8.82
227 0 8.855
228 0 8.89
229 0 8.92
230 0 8.95
231 0 8.98
232 0 9.01
233 0 9.035
234 0 9.06
235 0 9.08
236 0 9.1
237 0 9.115
238 0 9.13
239 0 9.145
240 0 9.16
241 0 9.17
242 0 9.18
243 0 9.185
244 0 9.19
245 0 9.195
246 0 9.2
247 0 9.195
248 0 9.19
249 0 9.185
250 0 9.18
251 0 9.17
252 0 9.16
253 0 9.145
254 0 9.13
255 0 9.115
256 0 9.1
257 0 9.08
258 0 9.06
259 0 9.035
260 0 9.01
261 0 8.98
262 0 8.95
263 0 8.92
264 0 8.89
265 0 8.855
266 0 8.82
267 0 8.78
268 0 8.74
269 0 8.695
270 0 8.65
271 0 8.605
272 0 8.56
273 0 8.51
274 0 8.46
275 0 8.405
276 0 8.35
277 0 8.29
278 0 8.23
279 0 8.17
280 0 8.11
281 0 8.045
282 0 7.98
283 0 7.915
284 0 7.85
285 0 7.775
286 0 7.7
287 0 7.625
288 0 7.55
289 0 7.475
290 0 7.4
291 0 7.315
292 0 7.23
293 0 7.15
294 0 7.07
295 0 6.98
296 0 6.89
297 0 6.8
298 0 6.71
299 0 6.615
300 0 6.52
301 0 6.425
302 0 6.33
303 0 6.23
304 0 6.13
305 0 6.025
306 0 5.92
307 0 5.815
308 0 5.71
309 0 5.605
310 0 5.5
311 0 5.39
312 0 5.28
313 0 5.165
314 0 5.05
315 0 4.935
316 0 4.82
317 0 4.7
318 0 4.58
319 0 4.46
320 0 4.34
321 0 4.22
322 0 4.1
323 0 3.975
324 0 3.85
325 0 3.725
326 0 3.6
327 0 3.47
328 0 3.34
329 0 3.215
330 0 3.09
331 0 2.965
332 0 2.84
333 0 2.71
334 0 2.58
335 0.005 2.455
336 0.01 2.33
337 0.01 2.205
338 0.01 2.08
339 0.02 1.95
340 0.03 1.82
341 0.035 1.695
342 0.04 1.57
343 0.05 1.455
344 0.06 1.34
345 0.075 1.225
346 0.09 1.11
347 0.115 1.005
348 0.14 0.9
349 0.165 0.81
350 0.19 0.72
351 0.23 0.64
352 0.27 0.56
353 0.32 0.495
354 0.37 0.43
355 0.435 0.375
356 0.5 0.32
357 0.58 0.275
358 0.66 0.23
359 0.75 0.2
360 0.84 0.17
361 0.94 0.15
362 1.04 0.13
363 1.15 0.115
364 1.26 0.1
365 1.38 0.09
366 1.5 0.08
367 1.625 0.075
368 1.75 0.07
369 1.88 0.06
370 2.01 0.05
371 2.14 0.045
372 2.27 0.04
373 2.4 0.03
374 2.53 0.02
375 2.66 0.015
376 2.79 0.01
377 2.92 0.005
378 3.05 0
379 3.18 0
380 3.31 0
381 3.44 0
382 3.57 0
383 3.695 0
384 3.82 0
385 3.945 0
386 4.07 0
387 4.195 0
388 4.32 0
389 4.44 0
390 4.56 0
391 4.68 0
392 4.8 0
393 4.915 0
394 5.03 0
395 5.145 0
396 5.26 0
397 5.375 0
398 5.49 0
399 5.595 0
400 5.7 0
401 5.805 0
402 5.91 0
403 6.015 0
404 6.12 0
405 6.22 0
406 6.32 0
407 6.415 0
408 6.51 0
409 6.605 0
410 6.7 0
411 6.795 0
412 6.89 0
413 6.975 0
414 7.06 0
415 7.145 0
416 7.23 0
417 7.31 0
418 7.39 0
419 7.47 0
420 7.55 0
421 7.625 0
422 7.7 0
423 7.77 0
424 7.84 0
425 7.91 0
426 7.98 0
427 8.045 0
428 8.11 0
429 8.17 0
430 8.23 0
431 8.29 0
432 8.35 0
433 8.405 0
434 8.46 0
435 8.51 0
436 8.56 0
437 8.605 0
438 8.65 0
439 8.695 0
440 8.74 0
441 8.78 0
442 8.82 0
443 8.855 0
444 8.89 0
